match_api_id,season,stage,date,away_team,home_team,home_team_goal,away_team_goal,result_match,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,away_possession,home_possession,home_shoton,away_shoton
489043,2008/2009,1,2008-08-16 00:00:00,8659,9825,1,0,H,31013,31013,31013,31013,31013,31013,30935.0,39297.0,26181.0,30960.0,36410.0,24664.0,24664.0,24664.0,24664.0,24664.0,24664.0,31088.0,23257.0,24171.0,25922.0,27267.0,0,0,0,0
489044,2008/2009,1,2008-08-16 00:00:00,8650,8472,0,1,A,38802,38802,38802,38802,38802,38802,24655.0,17866.0,30352.0,23927.0,24410.0,37139.0,37139.0,37139.0,37139.0,37139.0,37139.0,30618.0,40701.0,24800.0,24635.0,30853.0,0,0,0,0
489045,2008/2009,1,2008-08-16 00:00:00,8528,8654,2,1,H,36394,36394,36394,36394,36394,36394,37169.0,24223.0,24773.0,34543.0,23139.0,35327.0,35327.0,35327.0,35327.0,35327.0,35327.0,25150.0,97988.0,41877.0,127857.0,34466.0,0,0,0,0
489047,2008/2009,1,2008-08-16 00:00:00,8655,8668,2,3,A,24011,24011,24011,24011,24011,24011,109058.0,23268.0,24846.0,24006.0,24160.0,30342.0,30342.0,30342.0,30342.0,30342.0,30342.0,23889.0,23916.0,23922.0,34176.0,30646.0,0,0,0,0
489048,2008/2009,1,2008-08-16 00:00:00,8586,8549,2,1,H,24753,24753,24753,24753,24753,24753,97932.0,24393.0,30892.0,35608.0,42183.0,30895.0,30895.0,30895.0,30895.0,30895.0,30895.0,30818.0,31097.0,23760.0,41157.0,23949.0,0,0,0,0
489049,2008/2009,1,2008-08-16 00:00:00,10194,8559,3,1,H,23931,23931,23931,23931,23931,23931,23933.0,35532.0,24372.0,23934.0,34261.0,25668.0,25668.0,25668.0,25668.0,25668.0,25668.0,23333.0,23253.0,23072.0,23288.0,23314.0,0,0,0,0
489050,2008/2009,1,2008-08-16 00:00:00,9879,8667,2,1,H,23438,23438,23438,23438,23438,23438,23023.0,30595.0,23025.0,39073.0,23352.0,24020.0,24020.0,24020.0,24020.0,24020.0,24020.0,30338.0,24843.0,24737.0,34248.0,24741.0,0,0,0,0
489042,2008/2009,1,2008-08-17 00:00:00,10261,10260,1,1,D,24148,24148,24148,24148,24148,24148,34944.0,30373.0,24154.0,24157.0,30829.0,38807.0,38807.0,38807.0,38807.0,38807.0,38807.0,40565.0,30360.0,33852.0,34574.0,37799.0,0,0,0,0
489046,2008/2009,1,2008-08-17 00:00:00,8456,10252,4,2,H,38609,38609,38609,38609,38609,38609,24780.0,23782.0,23354.0,23264.0,26165.0,47413.0,47413.0,47413.0,47413.0,47413.0,47413.0,40198.0,42119.0,,33633.0,107216.0,0,0,0,0
489051,2008/2009,1,2008-08-17 00:00:00,8462,8455,4,0,H,30631,30631,30631,30631,30631,30631,32345.0,30699.0,30686.0,30630.0,37804.0,25517.0,25517.0,25517.0,25517.0,25517.0,25517.0,23988.0,26108.0,38820.0,30348.0,30830.0,0,0,0,0
